City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,sao joao da barra,20,BR,1554231600,58,-21.64,-41.05,82.4,9.17
88,abeche,0,TD,1554236077,36,13.83,20.83,73.45,5.19
89,sorong,48,ID,1554236077,100,-0.86,131.25,82.45,9.55
90,risti,0,EE,1554235987,59,59.0,24.06,37.99,4.7
91,chokurdakh,68,RU,1554236078,77,70.62,147.9,5.05,3.18
92,cherskiy,48,RU,1554236078,79,68.75,161.3,28.81,6.76
93,ayan,76,TR,1554236078,56,40.67,33.6,34.21,1.28
94,pimentel,0,BR,1554236078,78,-3.7,-45.5,83.8,2.39
95,faanui,20,PF,1554236079,100,-16.48,-151.75,84.52,11.12
96,arraial do cabo,0,BR,1554231600,61,-22.97,-42.02,82.4,8.05
97,margate,0,AU,1554236056,59,-43.03,147.26,61.0,10.29
98,port blair,0,IN,1554236080,100,11.67,92.75,83.98,2.95
99,kahului,40,US,1554236037,57,20.89,-156.47,80.6,14.99
100,talcahuano,0,CL,1554231600,60,-36.72,-73.12,73.4,18.34
101,cranbrook,20,CA,1554235200,37,49.51,-115.76,51.8,5.82
102,atuona,0,PF,1554235815,100,-9.8,-139.03,81.82,12.46
103,bethel,1,US,1554231360,86,60.79,-161.76,35.6,9.17
104,boppard,0,DE,1554236025,81,50.23,7.59,55.0,10.29
105,naze,36,NG,1554236081,73,5.43,7.07,81.82,9.66
106,george,20,NG,1554231600,84,6.63,3.35,86.0,5.82
107,nyurba,0,RU,1554236082,81,63.29,118.35,24.4,6.64
108,pevek,12,RU,1554236082,82,69.7,170.27,24.04,14.25
109,hofn,0,IS,1554236082,100,64.25,-15.21,30.52,17.72
110,viedma,0,AR,1554236082,36,-40.81,-62.99,70.39,15.7
111,sehithwa,56,BW,1554236083,33,-20.47,22.7,74.98,9.33
112,marsaxlokk,20,MT,1554235823,82,35.84,14.54,57.0,3.36
113,nouadhibou,20,MR,1554231600,68,20.93,-17.03,68.0,8.05
114,ancud,75,CL,1554231600,63,-41.87,-73.83,60.8,4.7
115,rawson,0,AR,1554236084,22,-43.3,-65.11,76.15,8.99
116,carnarvon,0,ZA,1554236084,45,-30.97,22.13,51.13,2.62
117,coihaique,40,CL,1554231600,51,-45.58,-72.07,59.0,5.82
118,wuzhou,68,CN,1554236084,94,23.48,111.3,65.62,3.29
119,baker,75,US,1554234660,52,46.37,-104.28,44.6,12.75
120,ahipara,0,NZ,1554236085,84,-35.17,173.16,64.63,9.78
121,norman wells,75,CA,1554231600,60,65.28,-126.83,8.6,9.17
122,baisha,68,CN,1554236085,92,19.23,109.45,69.13,0.83
123,salalah,20,OM,1554231000,74,17.01,54.1,80.6,5.82
124,saskylakh,92,RU,1554236086,84,71.97,114.09,22.51,3.4
125,provideniya,8,RU,1554236086,100,64.42,-173.23,24.85,13.8
126,yarada,0,IN,1554236086,98,17.65,83.27,83.62,14.25
127,clyde river,90,CA,1554233820,84,70.47,-68.59,3.2,32.21
128,talnakh,64,RU,1554236086,74,69.49,88.39,17.83,3.18
129,gainesville,1,US,1554236063,53,29.65,-82.33,73.0,11.41
130,tuatapere,0,NZ,1554235805,93,-46.13,167.69,44.01,1.01
131,yulara,0,AU,1554231600,28,-25.24,130.99,59.0,8.05
132,inhambane,0,MZ,1554231600,78,-23.87,35.38,75.2,6.93
133,jamestown,0,AU,1554236088,78,-33.21,138.6,46.27,5.19
