City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mehamn,90,NO,1554292200,92,71.03,27.85,35.6,2.24
88,christchurch,24,NZ,1554294499,87,-43.53,172.64,54.0,8.05
89,kushima,20,JP,1554294146,71,31.5,131.29,51.8,8.05
90,pacific grove,90,US,1554294502,87,36.62,-121.92,54.0,6.93
91,gandiaye,0,SN,1554289200,50,14.24,-16.27,77.0,6.93
92,ilhabela,32,BR,1554294488,99,-23.78,-45.36,74.93,3.62
93,sandusky,1,US,1554294567,80,41.45,-82.71,43.0,13.87
94,batemans bay,92,AU,1554294656,87,-35.71,150.18,68.0,3.74
95,gotsu,0,JP,1554294699,87,35.01,132.22,39.83,4.85
96,berlevag,75,NO,1554292200,69,70.86,29.09,35.6,1.12
97,sivas,75,TR,1554292200,39,39.75,37.01,46.4,5.82
98,freeport,90,BS,1554292800,83,26.54,-78.7,71.6,14.99
99,hilo,90,US,1554294661,78,19.71,-155.08,73.4,5.82
100,leningradskiy,48,RU,1554294547,95,69.38,178.42,11.75,16.71
101,upernavik,32,GL,1554294700,85,72.79,-56.15,31.19,13.8
102,antalaha,32,MG,1554294700,100,-14.9,50.28,80.78,5.86
103,tamandare,32,BR,1554294700,94,-8.28,-70.75,76.1,3.74
104,yerbogachen,92,RU,1554294701,82,61.28,108.01,31.73,1.95
105,pisco,88,PE,1554292800,30,-13.71,-76.2,71.6,2.39
106,okhansk,0,RU,1554292800,30,57.72,55.39,44.6,13.42
107,san francisco,90,US,1554294539,87,37.78,-122.42,55.0,4.7
108,sao filipe,64,CV,1554294702,96,14.9,-24.5,70.97,16.26
109,port macquarie,40,AU,1554294605,87,-31.43,152.91,64.0,6.2
110,ponta do sol,0,BR,1554294703,71,-20.63,-46.0,75.02,4.41
111,kovdor,48,RU,1554294703,67,67.56,30.47,38.93,6.76
112,karcsa,36,HU,1554294661,25,48.31,21.79,62.6,8.95
113,pingliang,8,CN,1554294539,48,35.54,106.68,46.0,7.87
114,chokurdakh,0,RU,1554294704,52,70.62,147.9,4.73,6.64
115,kruisfontein,56,ZA,1554294704,60,-34.0,24.73,70.34,5.41
116,lavrentiya,0,RU,1554294704,82,65.58,-170.99,16.43,11.01
117,praia da vitoria,75,PT,1554293806,77,38.73,-27.07,60.01,19.73
118,ilulissat,40,GL,1554292200,63,69.22,-51.1,26.6,29.97
119,victoria,75,BN,1554291000,83,5.28,115.24,84.2,3.36
120,okhotsk,0,RU,1554294706,82,59.36,143.24,25.7,2.95
121,coihaique,75,CL,1554292800,66,-45.58,-72.07,53.6,3.36
122,saint-philippe,1,CA,1554294695,51,45.36,-73.48,39.99,14.99
